stage,stage_name,container_id,container_name,start_time,end_time,duration_days,interval_count
Adult,Ongrowing,E621CA88-20D8-406E-8C2E-B5C9A4D6E3E3,03,2024-05-01 18:29:16,2024-05-02 16:59:45,0.94,3
Unknown,Unknown,947F383B-EBA1-473A-A146-E3C4E860D864,Temp,2024-03-10 22:43:30,2024-03-10 22:43:30,0.00,1
Unknown,Unknown,534A22C3-2DA8-49D7-B255-0029E08302B8,Temp,2024-04-12 22:28:47,2024-04-12 22:28:47,0.00,1
Adult,Ongrowing,19E8150E-061E-4CF8-80A1-5A366FC65EC9,07,2024-03-14 15:41:41,2024-03-14 16:41:41,0.04,1
Adult,Ongrowing,49D6DB23-974A-4DA9-90C3-32C77E6186C4,08,2024-03-19 18:02:50,2024-03-20 15:09:21,0.88,2
Unknown,Unknown,67C4B407-0BE9-47E0-BC5C-7CB01BE515C3,Temp,2024-04-12 22:33:00,2024-04-12 22:33:00,0.00,1
Unknown,Unknown,08407C00-CA89-44BB-AA0B-1F38B8D4FDD7,Temp,2024-04-20 09:30:23,2024-04-20 09:30:23,0.00,1
Unknown,Unknown,8BC7F0A8-5E9D-4829-9538-CCC22A702AA7,Temp,2024-03-25 21:16:48,2024-03-25 21:16:48,0.00,1
Unknown,Unknown,F13CD676-4CC5-4556-88F7-7AD6BA129BF5,Temp,2024-02-23 21:21:10,2024-02-23 21:21:10,0.00,1
Unknown,Unknown,4DF01BE6-5B19-420A-93E2-D5F410BC5AE5,Temp,2024-03-14 15:41:41,2024-03-14 15:41:41,0.00,1
Unknown,Unknown,24D3EB42-31DC-496A-8B8D-30AE3EC58090,Temp,2024-05-02 18:44:16,2024-05-02 18:44:16,0.00,1
Unknown,Unknown,BDBD2081-E66E-4381-B1DC-D7CE793BF224,Temp,2024-06-17 13:25:20,2024-06-17 13:25:20,0.00,1
Unknown,Unknown,96F36B01-EBEF-4D3D-A5C5-D4C184A0796D,Temp,2024-05-22 11:40:40,2024-05-22 11:40:40,0.00,1
Unknown,Unknown,19E8150E-061E-4CF8-80A1-5A366FC65EC9,07,2024-03-14 16:41:41,2024-03-14 16:41:41,0.00,1
Unknown,Unknown,08E9A839-E434-42DC-ADF0-CC0EB0538EEB,Temp,2024-05-23 11:56:07,2024-05-23 11:56:07,0.00,1
Unknown,Unknown,D6802391-DDC1-416B-A4D4-AE822A705BC3,Temp,2024-05-01 16:04:50,2024-05-01 16:04:50,0.00,1
Unknown,Unknown,FDE2DBDF-FAB3-447B-8A26-5614BEFF7510,07,2024-05-23 11:56:07,2024-05-23 11:56:07,0.00,1
Unknown,Unknown,CB5BE0D6-7BB3-473D-B952-ED9359A44C90,Temp,2024-06-17 19:25:20,2024-06-17 19:25:20,0.00,1
Unknown,Unknown,E41BB015-6BA1-4399-8729-390704747A2A,Temp,2024-04-13 23:59:22,2024-04-13 23:59:22,0.00,1
Unknown,Unknown,8634ECF5-36DD-4148-95E0-741AEF907D14,Temp,2024-05-23 11:56:07,2024-05-23 11:56:07,0.00,1
Unknown,Unknown,FC8C23EF-3594-4A7B-ADF0-BCD80356A63C,Temp,2024-04-11 14:33:29,2024-04-11 14:33:29,0.00,1
Unknown,Unknown,1CC5D3F6-17A7-496C-9B2D-EA7885E6A5EA,Temp,2024-04-30 15:40:31,2024-04-30 15:40:31,0.00,1
Unknown,Unknown,0C065C75-73A3-4A78-9AF9-FB2AF23EC363,Temp,2024-06-03 18:55:52,2024-06-03 18:55:52,0.00,1
Unknown,Unknown,09453AB9-BEB7-451B-A077-2D7F5BD2A6AD,Temp,2024-03-08 18:25:15,2024-03-08 18:25:15,0.00,1
Unknown,Unknown,2ED5EC27-9C77-4A15-B3DF-4B6201507E0E,Temp,2024-04-23 23:07:47,2024-04-23 23:07:47,0.00,1
Unknown,Unknown,8BC4A564-3F83-488D-81A7-DA7BA777CF57,Temp,2024-03-09 20:29:37,2024-03-09 20:29:37,0.00,1
Adult,Ongrowing,511C5669-2FF5-4D21-B013-3BBCE121F666,19,2024-05-02 18:44:16,2025-04-30 00:01:01,362.22,1
Unknown,Unknown,B7EC13CE-BA8B-4248-B86C-B9DC9DC57038,Temp,2024-02-19 15:29:44,2024-02-19 15:29:44,0.00,1
Adult,Ongrowing,54E55714-0944-43A4-9029-85F64495D4B0,03,2024-06-10 15:27:23,2024-11-28 15:34:08,171.00,1
Adult,Ongrowing,1A26A66A-819D-4C83-9C77-62EFC79D4F3B,22,2024-02-29 17:36:20,2024-07-17 15:16:59,138.90,1
Unknown,Unknown,78A42BC9-91A1-49B7-84A2-465644DAB8DB,Temp,2024-03-22 14:40:10,2024-03-22 14:40:10,0.00,1
Unknown,Unknown,CF323F82-C81D-4745-87C4-4A27816A73E6,Temp,2024-05-01 22:29:16,2024-05-01 22:29:16,0.00,1
Unknown,Unknown,D8B8AA9B-A8E1-43DD-B5F7-C029C6CC2BCA,Temp,2024-05-01 22:29:16,2024-05-01 22:29:16,0.00,1
Unknown,Unknown,32BE5ACD-BEBF-4896-986E-0D8B153E2223,Temp,2024-06-19 14:43:09,2024-06-19 14:43:09,0.00,1
Adult,Ongrowing,EE6DE885-149C-4ACE-82D4-769EF520C505,05,2024-04-20 09:30:23,2024-11-04 20:48:35,198.47,1
Unknown,Unknown,044F886B-5E34-416B-BFF9-581D20A40C48,Temp,2024-06-19 16:43:09,2024-06-19 16:43:09,0.00,1
Unknown,Unknown,8082CD78-A0DB-4F25-9C09-E178F946C697,Temp,2024-03-19 18:02:50,2024-03-19 18:02:50,0.00,1
Unknown,Unknown,D2917A96-2431-4EDC-8123-C688B6B12168,Temp,2024-06-05 23:48:40,2024-06-05 23:48:40,0.00,1
Unknown,Unknown,272BB204-41FC-4631-ADCE-CB2BBBAA87A7,Temp,2024-04-24 22:28:42,2024-04-24 22:28:42,0.00,1
Unknown,Unknown,37144436-8794-4165-B61F-D28A4FAA5931,Temp,2024-04-11 15:33:29,2024-04-11 15:33:29,0.00,1
Unknown,Unknown,4A28AEC6-14EF-4949-ABEE-2A7AA38A1E9E,Temp,2024-06-11 18:07:19,2024-06-11 18:07:19,0.00,1
Unknown,Unknown,59257B9B-6FAB-433F-9A26-BB915747FE13,Temp,2024-05-31 23:30:43,2024-05-31 23:30:43,0.00,1
Unknown,Unknown,7FAE4D20-DA26-49F7-9622-6FFFEBDEFDF7,Temp,2024-04-12 22:20:51,2024-04-12 22:20:51,0.00,1
Unknown,Unknown,7BCD353F-4036-4B04-855A-5AF687EBB2D7,Temp,2024-03-10 18:41:11,2024-03-10 18:41:11,0.00,1
Adult,Ongrowing,BCE7D8D1-33A0-4917-9208-7326A1AB6BE6,20,2024-02-19 15:29:44,2024-07-16 15:13:52,147.99,1
