area_id,area_name,geography,area_group,area_group_parent,container_count,active,latitude,longitude,max_biomass_kg,source_orgunit_id
86,DCDAD00F-7AE4-4B7B-9E45-DA7015A8E69B,Unknown,,,0,True,57.564167,-7.308611,0.00,
89,DEBDFCAA-6D45-4943-9DAA-E0E72C4B4480,Unknown,,,0,True,57.411667,-6.172222,0.00,
8,E1A87A6F-519E-40BD-9BCE-1AB234D8BBED,Unknown,,,0,True,62.174227,-6.975546,0.00,
49,E41229D1-FB95-4F0F-955B-7B1A811A517E,Unknown,,,0,True,57.404722,-5.639167,0.00,
29,E42E2851-F788-438C-B9F3-4FC35D436AB0,Unknown,,,0,True,57.877055,-6.736894,0.00,
100,E584E7B0-FCC7-4D03-95DB-F661ADEB434C,Unknown,,,0,True,56.499722,-6.286944,0.00,
80,E5BB097E-5AAE-4537-883B-D275F66B4435,Unknown,,,0,True,56.300000,-3.150000,0.00,
92,E65AAE6D-4ACF-41C0-8BE0-E9E12E8E5495,Unknown,,,0,True,58.200000,-6.883333,0.00,
79,EB64E9C8-2B94-4512-A069-D0654FDBE2AC,Unknown,,,0,True,62.327455,-6.549911,0.00,
66,ED683537-D299-420A-9160-ABB183C79228,Unknown,,,0,True,57.966667,-6.716667,0.00,
65,ED9F3F38-BD40-4813-9A89-A7485E38FDFB,Unknown,,,0,True,57.438889,-7.201667,0.00,
78,EDEB2D97-89F1-48C5-B239-CC2BD1B4216E,Unknown,,,0,True,55.900000,-5.066667,0.00,
7,EE8D6109-5B01-4890-8153-19ED976FDC63,Unknown,,,0,True,62.288525,-6.605873,0.00,
110,EF4CB301-DD66-4F24-926D-FFFE7376EB7C,Unknown,,,0,True,61.601294,-6.916752,0.00,
14,FAFEE35A-A4BC-4884-B71A-2815C29B54EA,Unknown,,,0,True,56.450000,-6.150000,0.00,
9,FAFFD1AD-EB87-4821-BB4C-20A77B31909F,Unknown,,,0,True,55.928611,-5.080833,0.00,
105,FB1B646C-21F7-4271-AA72-FCAA16C4E03A,Unknown,,,0,True,58.033333,-6.383333,0.00,
39,FDC0BD88-7E9F-4477-B931-657078BB7F9F,Unknown,,,0,True,-62.109343,-6.801224,0.00,
111,Undefined,Unknown,,,0,True,0.000000,0.000000,0.00,
