population_id,weight_g,source,as_of_date,weight_date,current_count,current_biomass_kg,sample_size,population_name,fishgroup,environment,batch_label,input_project_id,input_project_name,year_class
1B60DEC1-7915-462C-8666-7F5594F059B3,5.5,status,2026-02-04,2024-12-04,96843.0,532.636,,Benchmark Gen. Juni 2024,242.0067,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
370758C7-1E66-44F8-9B78-8048F6CA478A,0.1,status,2026-02-04,2024-09-04,87037.0,8.7037,,Benchmark Gen. Juni 2024,242.0026,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
E5DE9AF0-69BA-4CC5-AB9E-8080A620B1A6,0.1,status,2026-02-04,2024-09-04,87119.0,8.7119,,Benchmark Gen. Juni 2024,242.0039,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
F71190B8-5AF7-44CE-BDEF-8118222B4121,462.0,status,2026-02-04,2025-10-02,99021.0,45747.7,,Benchmark Gen. Juni 2024,242.0001,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
413F0693-001B-417B-BD0A-81541F1B079E,85.7,status,2026-02-04,2025-05-22,93178.0,7985.14,,Benchmark Gen. Juni 2024,242.0257,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
8B92DF8E-4919-4EBE-AB25-834ECC817B56,300.1,status,2026-02-04,2025-10-13,126108.0,37845.2,,Benchmark Gen. Juni 2024,242.0302,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
5DDEB439-C5DF-4F26-BA7A-836BF651A0F4,133.45,status,2026-02-04,2025-06-03,72503.0,9675.61,,Benchmark Gen. Juni 2024,242.0254,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
DBBAC00E-66FC-4A03-913F-83AF927B4C66,167.2,status,2026-02-04,2025-05-13,222548.0,37210.0,,Benchmark Gen. Juni 2024,242.0152,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
9BE24EA4-5A26-462E-9D04-83CCC2CD9DA1,83.3,status,2026-02-04,2025-05-23,135570.0,11292.8,,Benchmark Gen. Juni 2024,242.0258,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
C8B6EAEF-E09F-44F7-B111-845486650F27,0.1,status,2026-02-04,2024-09-04,87223.0,8.7223,,Benchmark Gen. Juni 2024,242.0010,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
