container_id,container_name,container_type,container_category,location_context,geography,station_name,hall_name,area_name,carrier_name,volume_m3,max_biomass_kg,hierarchy_role,parent_container_id,parent_container_name,active,source_container_id,source_official_id,source_org_unit_id
6077,K7,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,E8B5E0B5-8943-4376-9853-ED63156EEEFB,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
1088,K7,FishTalk Imported Tank,TANK,hall,Faroe Islands,L01 Við Áir,Uppistova 2,,,0.00,0.00,HOLDING,,,True,0C085B22-1656-436E-8154-489D395A19C7,Uppistova 2;12111,F073CEA0-E6C7-4F7E-B0C0-BDB1ACB2347F
498,K8,FishTalk Imported Tank,TANK,hall,Faroe Islands,L01 Við Áir,Uppistova 2,,,0.00,0.00,HOLDING,,,True,CC780D92-EC5A-4DFC-92C0-A50B0B452C2B,Uppistova 2;12112,F073CEA0-E6C7-4F7E-B0C0-BDB1ACB2347F
5964,K8,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,25B27E4F-9607-4BAA-A8FD-E367DC0AA1BE,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
6054,K9,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,5A8D5AFF-9307-48A8-977A-47219C93506A,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
853,K9,FishTalk Imported Tank,TANK,hall,Faroe Islands,L01 Við Áir,Uppistova 2,,,0.00,0.00,HOLDING,,,True,A4EEC286-CD64-48EA-8A9C-0335E82B1BCD,Uppistova 2;12113,F073CEA0-E6C7-4F7E-B0C0-BDB1ACB2347F
8372,KC01,FishTalk Imported Pen,PEN,area,Scotland,,,N612 Kenmore,,3900.00,0.00,HOLDING,,,True,B0E0EA56-1735-48A3-B7ED-34DF26202190,,C8CA9423-CFE5-4DB1-9001-48F020F803B5
8383,KC02,FishTalk Imported Pen,PEN,area,Scotland,,,N612 Kenmore,,3900.00,0.00,HOLDING,,,True,7031028D-17E6-4AC7-AD56-94A81EB42FDC,,C8CA9423-CFE5-4DB1-9001-48F020F803B5
8393,KC03,FishTalk Imported Pen,PEN,area,Scotland,,,N612 Kenmore,,3900.00,0.00,HOLDING,,,True,43EFE438-F596-4A07-90A1-82C8EB461F93,,C8CA9423-CFE5-4DB1-9001-48F020F803B5
8404,KC04,FishTalk Imported Pen,PEN,area,Scotland,,,N612 Kenmore,,3900.00,0.00,HOLDING,,,True,D6C7137C-CD43-47B8-9E9C-A3CB79B603FC,,C8CA9423-CFE5-4DB1-9001-48F020F803B5
8405,KM01,FishTalk Imported Pen,PEN,area,Scotland,,,N612 Kenmore,,6449.00,0.00,HOLDING,,,True,D5FAA421-7207-4196-BEAD-D89D81B81A77,,C8CA9423-CFE5-4DB1-9001-48F020F803B5
8368,KM02,FishTalk Imported Pen,PEN,area,Scotland,,,N612 Kenmore,,6449.00,0.00,HOLDING,,,True,A47D3DE6-EB74-4E92-A3F6-14B0D90CFF66,,C8CA9423-CFE5-4DB1-9001-48F020F803B5
8377,KM03,FishTalk Imported Pen,PEN,area,Scotland,,,N612 Kenmore,,6449.00,0.00,HOLDING,,,True,BC916483-2BCB-4A69-BF2E-7EA606952333,,C8CA9423-CFE5-4DB1-9001-48F020F803B5
8373,KM04,FishTalk Imported Pen,PEN,area,Scotland,,,N612 Kenmore,,6449.00,0.00,HOLDING,,,True,6217B61F-199C-4219-BD20-3D23AD2BCD0C,,C8CA9423-CFE5-4DB1-9001-48F020F803B5
8388,KM05,FishTalk Imported Pen,PEN,area,Scotland,,,N612 Kenmore,,0.00,0.00,HOLDING,,,True,A1B51A78-9218-417A-9F2E-BFADE3689052,,C8CA9423-CFE5-4DB1-9001-48F020F803B5
8392,KM06,FishTalk Imported Pen,PEN,area,Scotland,,,N612 Kenmore,,0.00,0.00,HOLDING,,,True,FBAEA9CD-BAFE-46B1-A363-E71BE6A53485,,C8CA9423-CFE5-4DB1-9001-48F020F803B5
8375,KM07,FishTalk Imported Pen,PEN,area,Scotland,,,N612 Kenmore,,0.00,0.00,HOLDING,,,True,15B91322-30BF-4CB8-97D7-7955419D1B5B,,C8CA9423-CFE5-4DB1-9001-48F020F803B5
