Site,Unit,Grouping,Fish group Name,Fish group Number,Start Time,End Time,Activity,Category,Registered by,Registration date
S21 Viðareiði,B06,BB,StofnFiskur S-21 apr 25,25.02.100,13.01.2026 at 08:40:27,13.01.2026 at 08:40:27,Transfer,Stock Logistics Activities,Sigurð Jacobsen,13.01.2026 at 08:41:14
S21 Viðareiði,B06,BB,StofnFiskur S-21 apr 25,25.02.042,08.01.2026 at 08:32:00,08.01.2026 at 08:32:00,Transfer,Stock Logistics Activities,Sigurð Jacobsen,09.01.2026 at 08:33:17
S21 Viðareiði,B06,BB,StofnFiskur S-21 apr 25,25.02.042,08.01.2026 at 08:30:45,08.01.2026 at 08:30:45,Transfer,Stock Logistics Activities,Sigurð Jacobsen,09.01.2026 at 08:31:24
S21 Viðareiði,B08,BA,StofnFiskur S-21 juli25,25.03.040,16.01.2026 at 12:37:15,16.01.2026 at 12:37:15,Transfer,Stock Logistics Activities,Sigurð Jacobsen,16.01.2026 at 12:38:08
S21 Viðareiði,B08,BA,StofnFiskur S-21 juli25,25.03.028,15.01.2026 at 12:27:16,15.01.2026 at 12:27:16,Transfer,Stock Logistics Activities,Sigurð Jacobsen,15.01.2026 at 12:29:24
S21 Viðareiði,B10,BA,StofnFiskur S-21 juli25,25.03.001,15.01.2026 at 15:08:15,15.01.2026 at 15:08:15,Transfer,Stock Logistics Activities,Sigurð Jacobsen,15.01.2026 at 15:11:59
S21 Viðareiði,B10,BA,StofnFiskur S-21 apr 25,25.02.060,06.01.2026 at 16:00:38,06.01.2026 at 16:00:38,Transfer,Stock Logistics Activities,Sigurð Jacobsen,06.01.2026 at 16:01:52
S21 Viðareiði,B11,BA,StofnFiskur S-21 apr 25,25.02.057,06.01.2026 at 15:58:10,06.01.2026 at 15:58:10,Transfer,Stock Logistics Activities,Sigurð Jacobsen,06.01.2026 at 15:59:42
S21 Viðareiði,B12,BA,Bakkafrost S-21 jan 25,25.01.183,26.01.2026 at 15:37:59,26.01.2026 at 15:37:59,Transfer,Stock Logistics Activities,Jacobina Petersen,26.01.2026 at 15:39:28
S21 Viðareiði,B12,BA,StofnFiskur S-21 apr 25,25.02.092,19.01.2026 at 08:28:44,19.01.2026 at 08:28:44,Transfer,Stock Logistics Activities,Sigurð Jacobsen,20.01.2026 at 08:30:40
S21 Viðareiði,B13,BA,Bakkafrost S-21 jan 25,25.01.194,27.01.2026 at 09:11:35,27.01.2026 at 09:11:35,Transfer,Stock Logistics Activities,Jacobina Petersen,28.01.2026 at 09:12:06
S21 Viðareiði,B13,BA,Bakkafrost S-21 jan 25,25.01.194,27.01.2026 at 09:10:22,27.01.2026 at 09:10:22,Transfer,Stock Logistics Activities,Jacobina Petersen,28.01.2026 at 09:11:26
S21 Viðareiði,B13,BA,Bakkafrost S-21 jan 25,25.01.191,27.01.2026 at 09:09:19,27.01.2026 at 09:09:19,Transfer,Stock Logistics Activities,Jacobina Petersen,28.01.2026 at 09:10:16
S21 Viðareiði,B13,BA,Bakkafrost S-21 jan 25,25.01.191,26.01.2026 at 15:39:34,26.01.2026 at 15:39:34,Transfer,Stock Logistics Activities,Jacobina Petersen,26.01.2026 at 15:40:36
S21 Viðareiði,B13,BA,StofnFiskur S-21 apr 25,25.02.103,20.01.2026 at 13:26:00,20.01.2026 at 13:26:00,Transfer,Stock Logistics Activities,Sigurð Jacobsen,20.01.2026 at 13:26:25
S21 Viðareiði,B14,BA,Bakkafrost S-21 jan 25,25.01.184,23.01.2026 at 15:17:03,23.01.2026 at 15:17:03,Transfer,Stock Logistics Activities,Sigurð Jacobsen,23.01.2026 at 15:20:36
S21 Viðareiði,B14,BA,StofnFiskur S-21 apr 25,25.02.094,20.01.2026 at 13:22:04,20.01.2026 at 13:22:04,Transfer,Stock Logistics Activities,Sigurð Jacobsen,20.01.2026 at 13:23:46
S21 Viðareiði,B14,BA,StofnFiskur S-21 apr 25,25.02.077,09.01.2026 at 15:14:10,09.01.2026 at 15:14:10,Transfer,Stock Logistics Activities,Sigurð Jacobsen,09.01.2026 at 15:15:43
S21 Viðareiði,B14,BA,StofnFiskur S-21 apr 25,25.02.077,08.01.2026 at 08:41:00,08.01.2026 at 08:41:00,Transfer,Stock Logistics Activities,Sigurð Jacobsen,09.01.2026 at 08:42:40
S21 Viðareiði,B14,BA,StofnFiskur S-21 apr 25,25.02.074,08.01.2026 at 08:33:43,08.01.2026 at 08:33:43,Transfer,Stock Logistics Activities,Sigurð Jacobsen,09.01.2026 at 08:40:47
S21 Viðareiði,B14,BA,StofnFiskur S-21 apr 25,25.02.062,07.01.2026 at 15:58:28,07.01.2026 at 15:58:28,Transfer,Stock Logistics Activities,Sigurð Jacobsen,07.01.2026 at 15:58:51
S21 Viðareiði,B15,BA,Bakkafrost S-21 jan 25,25.01.185,22.01.2026 at 15:26:25,22.01.2026 at 15:26:25,Transfer,Stock Logistics Activities,Jacobina Petersen,22.01.2026 at 15:27:37
S21 Viðareiði,B15,BA,StofnFiskur S-21 apr 25,25.02.102,20.01.2026 at 13:28:51,20.01.2026 at 13:28:51,Transfer,Stock Logistics Activities,Sigurð Jacobsen,20.01.2026 at 13:29:19
S21 Viðareiði,B15,BA,StofnFiskur S-21 apr 25,25.02.096,19.01.2026 at 08:32:18,19.01.2026 at 08:32:18,Transfer,Stock Logistics Activities,Sigurð Jacobsen,20.01.2026 at 08:32:47
S21 Viðareiði,B15,BA,StofnFiskur S-21 apr 25,25.02.064,07.01.2026 at 15:59:11,07.01.2026 at 15:59:11,Transfer,Stock Logistics Activities,Sigurð Jacobsen,07.01.2026 at 16:00:30
S21 Viðareiði,B15,BA,StofnFiskur S-21 apr 25,25.02.064,07.01.2026 at 15:55:21,07.01.2026 at 15:55:21,Transfer,Stock Logistics Activities,Sigurð Jacobsen,07.01.2026 at 15:56:14
S21 Viðareiði,B15,BA,StofnFiskur S-21 apr 25,25.02.063,06.01.2026 at 16:03:28,06.01.2026 at 16:03:28,Transfer,Stock Logistics Activities,Sigurð Jacobsen,06.01.2026 at 16:03:57
S21 Viðareiði,B15,BA,StofnFiskur S-21 apr 25,25.02.054,05.01.2026 at 08:55:48,05.01.2026 at 08:55:48,Transfer,Stock Logistics Activities,Sigurð Jacobsen,06.01.2026 at 08:56:46
S21 Viðareiði,C10,C,StofnFiskur S-21 apr 25,25.02.056,06.01.2026 at 16:00:02,06.01.2026 at 16:00:02,Transfer,Stock Logistics Activities,Sigurð Jacobsen,06.01.2026 at 16:00:24
S21 Viðareiði,C10,C,StofnFiskur S-21 apr 25,25.02.056,06.01.2026 at 15:57:43,06.01.2026 at 15:57:43,Transfer,Stock Logistics Activities,Sigurð Jacobsen,06.01.2026 at 15:58:03
S21 Viðareiði,C10,C,StofnFiskur S-21 apr 25,25.02.055,05.01.2026 at 08:57:39,05.01.2026 at 08:57:39,Transfer,Stock Logistics Activities,Sigurð Jacobsen,06.01.2026 at 08:58:06
S21 Viðareiði,C11,C,StofnFiskur S-21 apr 25,25.02.072,08.01.2026 at 08:31:33,08.01.2026 at 08:31:33,Transfer,Stock Logistics Activities,Sigurð Jacobsen,09.01.2026 at 08:31:52
S21 Viðareiði,C11,C,StofnFiskur S-21 apr 25,25.02.065,07.01.2026 at 16:00:50,07.01.2026 at 16:00:50,Transfer,Stock Logistics Activities,Sigurð Jacobsen,07.01.2026 at 16:01:32
S21 Viðareiði,D2,D,Bakkafrost S-21 jan 25,25.01.177,26.01.2026 at 16:38:48,26.01.2026 at 16:38:48,Transfer,Stock Logistics Activities,Jacobina Petersen,27.01.2026 at 08:39:54
S21 Viðareiði,D7,D,StofnFiskur S-21 apr 25,25.02.083,20.01.2026 at 13:32:38,20.01.2026 at 13:32:38,Transfer,Stock Logistics Activities,Sigurð Jacobsen,20.01.2026 at 13:32:59
S21 Viðareiði,D7,D,StofnFiskur S-21 apr 25,25.02.083,09.01.2026 at 15:16:53,09.01.2026 at 15:16:53,Transfer,Stock Logistics Activities,Sigurð Jacobsen,09.01.2026 at 15:17:11
S21 Viðareiði,D7,D,StofnFiskur S-21 apr 25,25.02.078,09.01.2026 at 15:16:24,09.01.2026 at 15:16:24,Transfer,Stock Logistics Activities,Sigurð Jacobsen,09.01.2026 at 15:16:44
S21 Viðareiði,D7,D,StofnFiskur S-21 apr 25,25.02.078,08.01.2026 at 08:43:13,08.01.2026 at 08:43:13,Transfer,Stock Logistics Activities,Sigurð Jacobsen,09.01.2026 at 08:43:53
S21 Viðareiði,F6,F,Bakkafrost S-21 sep24,24.03.322,28.01.2026 at 14:41:39,28.01.2026 at 14:41:39,Transfer,Stock Logistics Activities,Sigurð Jacobsen,28.01.2026 at 15:28:10
S21 Viðareiði,R3,Rogn,Bakkafrost S-21 okt 25,25.05.005,21.01.2026 at 09:32:59,21.01.2026 at 09:32:59,Transfer,Stock Logistics Activities,Jacobina Petersen,22.01.2026 at 09:33:35
S24 Strond,B11,B Høll,Benchmark Gen Septembur 2025,25.03.051,20.01.2026 at 13:58:44,20.01.2026 at 13:58:44,Transfer,Stock Logistics Activities,Rúni Tómas Hansen,20.01.2026 at 14:01:10
S24 Strond,C6,C Høll,Benchmark Gen. Mars 2025,25.01.159,13.01.2026 at 10:47:13,13.01.2026 at 10:47:13,Transfer,Stock Logistics Activities,Rúni Tómas Hansen,15.01.2026 at 10:48:39
S24 Strond,C6,C Høll,Benchmark Gen. Mars 2025,25.01.230,09.01.2026 at 10:15:14,09.01.2026 at 10:15:14,Transfer,Stock Logistics Activities,Rúni Tómas Hansen,12.01.2026 at 10:17:13
S24 Strond,D1,D Høll,Benchmark Gen. Mars 2025,25.01.108,16.01.2026 at 15:34:54,16.01.2026 at 15:34:54,Transfer,Stock Logistics Activities,Rúni Tómas Hansen,16.01.2026 at 15:43:44
S24 Strond,D2,D Høll,Benchmark Gen. Mars 2025,25.01.110,20.01.2026 at 11:15:33,20.01.2026 at 11:15:33,Transfer,Stock Logistics Activities,Rúni Tómas Hansen,22.01.2026 at 11:17:20
S24 Strond,D3,D Høll,Benchmark Gen. Juni 2025,25.02.094,29.01.2026 at 08:40:42,29.01.2026 at 08:40:42,Transfer,Stock Logistics Activities,Annika Vilhelm,30.01.2026 at 08:44:07
S24 Strond,D4,D Høll,Benchmark Gen. Juni 2025,25.02.101,28.01.2026 at 11:59:40,28.01.2026 at 11:59:40,Transfer,Stock Logistics Activities,Annika Vilhelm,29.01.2026 at 12:05:22
S24 Strond,D5,D Høll,Benchmark Gen. Mars 2025,25.01.224,23.01.2026 at 13:04:07,23.01.2026 at 13:04:07,Transfer,Stock Logistics Activities,Rúni Tómas Hansen,23.01.2026 at 13:06:21
S24 Strond,D6,D Høll,Benchmark Gen. Mars 2025,25.01.150,22.01.2026 at 15:09:28,22.01.2026 at 15:09:28,Transfer,Stock Logistics Activities,Rúni Tómas Hansen,22.01.2026 at 15:11:49
S24 Strond,D7,D Høll,Benchmark Gen. Mars 2025,25.01.160,27.01.2026 at 09:06:21,27.01.2026 at 09:06:21,Transfer,Stock Logistics Activities,Rúni Tómas Hansen,28.01.2026 at 09:11:28
S24 Strond,E01,E Høll,Benchmark Gen. Mars 2025,25.01.001,21.01.2026 at 14:51:00,21.01.2026 at 14:51:00,Transfer,Stock Logistics Activities,Rúni Tómas Hansen,21.01.2026 at 14:52:01
S24 Strond,E03,E Høll,Benchmark Gen. Desembur 2024,24.04.169,14.01.2026 at 10:58:16,14.01.2026 at 10:58:16,Transfer,Stock Logistics Activities,Rúni Tómas Hansen,15.01.2026 at 10:59:41
S24 Strond,E05,E Høll,Benchmark Gen. Mars 2025,25.01.223,20.01.2026 at 08:30:21,20.01.2026 at 08:30:21,Transfer,Stock Logistics Activities,Rúni Tómas Hansen,21.01.2026 at 08:38:09
S24 Strond,F01,F Høll,Benchmark Gen. Mars 2025,25.01.235,14.01.2026 at 10:39:33,14.01.2026 at 10:39:33,Transfer,Stock Logistics Activities,Rúni Tómas Hansen,15.01.2026 at 10:41:06
S24 Strond,F02,F Høll,Benchmark Gen. Mars 2025,25.01.229,08.01.2026 at 09:30:34,08.01.2026 at 09:30:34,Transfer,Stock Logistics Activities,Rúni Tómas Hansen,12.01.2026 at 09:32:09
S24 Strond,F04,F Høll,Benchmark Gen. Desembur 2024,24.04.195,13.01.2026 at 10:52:08,13.01.2026 at 10:52:08,Transfer,Stock Logistics Activities,Rúni Tómas Hansen,15.01.2026 at 10:54:19
S24 Strond,I2,I Høll,Benchmark Gen. Desembur 2024,24.04.219,16.01.2026 at 15:31:00,16.01.2026 at 15:31:00,Transfer,Stock Logistics Activities,Rúni Tómas Hansen,16.01.2026 at 15:33:39
,,,,,,,,,,
