schema_name,table_name,row_count
dbo,VaccineCategory,2
dbo,VaccineCostTable,1
dbo,VaccineCostTablePrice,11
dbo,VaccineGroup,47
dbo,VaccineGrouping,124
dbo,VaccineTypes,146
dbo,WaterIntakeType,4
dbo,WaterSource,1
dbo,WaterSourceMix,0
dbo,WaterSourceTreatment,0
dbo,WaterTreatment,11
dbo,WaterType,0
dbo,WeightClassDetails,59
dbo,WeightClasses,10
dbo,WrasseCounting,1721
dbo,WrasseCulling,564
dbo,WrasseFeeding,269549
dbo,WrasseInput,5712
dbo,WrasseMortality,326402
dbo,WrassePopCounting,0
dbo,WrassePopCulling,0
dbo,WrassePopFeeding,0
dbo,WrassePopInput,0
dbo,WrassePopMortality,0
dbo,WrassePopTransfer,0
dbo,WrassePopulation,0
dbo,WrassePopulationAttribute,0
dbo,WrasseProductionMethod,2
dbo,WrasseRelease,0
dbo,WrasseTransfer,591
